Symbol,Name,Tier,Sector,Price,Change %,Vol,Sec Type,Country,State
ACOGF,ALPHA COGNITION INC NEW,OTCQB,health care,0.571500,1.007400,87665,Foreign Ordinary Shares,USA,Texas
ANPCF,ANGLE PLC ORD,OTCQX International,health care,0.234000,,0,Foreign Ordinary Shares,United Kingdom,England
APLIF,APPILI THERAPEUTICS INC,Pink Current,health care,0.021700,16.042800,105300,Foreign Ordinary Shares,Canada,Nova Scotia
ATBPF,ANTIBE THERAPEUTICS INC,OTCQX International,health care,0.773000,-0.821100,15838,Foreign Ordinary Shares,Canada,Ontario
AVCRF,AVRICORE HEALTH INC ORD,OTCQB,health care,0.099500,-0.500000,200,Foreign Ordinary Shares,Canada,British Columbia
AZNCF,ASTRAZENECA PLC ORD,Pink Current,health care,129.990000,0.650400,1213,Foreign Ordinary Shares,United Kingdom,
BEIGF,BEIGENE LTD,Pink Current,health care,14.290000,,0,Foreign Ordinary Shares,,
BETRF,BETTERLIFE PHARMA INC,OTCQB,health care,0.063700,-3.921600,20500,Foreign Ordinary Shares,Canada,British Columbia
BICTF,BIOCURE TECHNOLOGY INC,Pink Current,health care,0.070000,,0,Foreign Ordinary Shares,Canada,British Columbia
BMMJ,BODY AND MIND INC,OTCQB,health care,0.072500,3.056100,16064,Foreign Ordinary Shares,Canada,British Columbia
CBWTF,AUXLY CANNABIS GRP INC,OTCQB,health care,0.012300,-1.204800,538585,Foreign Ordinary Shares,Canada,Ontario
CENBF,CEN BIOTECH INC ORD,Pink Current,health care,0.010460,175.263200,210,Foreign Ordinary Shares,Canada,Ontario
CHGCF,CHUGAI PHARMACEUTICAL,Pink Limited,health care,35.060000,,15500,Foreign Ordinary Shares,Japan,
CHJTF,CSPC PHARM GROUP LTD ORD,Pink Current,health care,0.800000,,0,Foreign Ordinary Shares,China,Hong Kong
CLPBF,COLOPLAST B ORD,Pink Limited,health care,137.000000,9.486100,230,Foreign Ordinary Shares,Denmark,
CLYYF,CELYAD SA,Pink Current,health care,0.413800,,0,Foreign Ordinary Shares,,
CMXHF,CSL LTD,OTCQX International,health care,184.250000,-1.707100,1103,Foreign Ordinary Shares,Australia,Victoria
CPHRF,CIPHER PHARMS INC ORD,OTCQX International,health care,5.352000,-0.888900,6534,Foreign Ordinary Shares,Canada,Ontario
CSWYF,CHINA SHINEWAY PHARM GRP,Pink Current,health care,0.925300,,0,Foreign Ordinary Shares,Hong Kong,
EPRXF,EUPRAXIA PHARMS INC,Pink Current,health care,5.200000,,0,Foreign Ordinary Shares,Canada,British Columbia
EVOTF,EVOTEC SE,Pink Current,health care,14.410000,,0,Foreign Ordinary Shares,Germany,
GDNSF,GOODNESS GROWTH HLDGS INC,OTCQX International,health care,0.411900,-6.365100,53928,Foreign Ordinary Shares,USA,Minnesota
GIFLF,GRIFOLS SA BARC ORD NEW,Pink Current,health care,12.156000,,0,Foreign Ordinary Shares,Spain,
GIFOF,GRIFOLS SA B SHS NEW,Pink Current,health care,7.720000,,0,Foreign Ordinary Shares,Spain,
GLAXF,GSK PLC,Pink Current,health care,21.491900,0.008800,736,Foreign Ordinary Shares,United Kingdom,England
GLPGF,GALAPAGOS NV ORD,Pink Current,health care,36.200000,,0,Foreign Ordinary Shares,Belgium,
GNMSF,GENMAB A/S DKK,Pink Current,health care,288.800000,0.312600,973,Foreign Ordinary Shares,USA,New York
GTBIF,GREEN THUMB INDUS SUB VTG,OTCQX International,health care,13.650000,-4.411800,412573,Foreign Ordinary Shares,USA,Illinois
HBPCF,HELIX BIOPHARMA CORP,Pink Current,health care,0.145000,,0,Foreign Ordinary Shares,Canada,Ontario
IGXT,INTELGENX TECHS CORP,OTCQB,health care,0.145200,-0.917800,59158,Foreign Ordinary Shares,Canada,Quebec
INRLF,VALNEVA SE ORD,Pink Limited,health care,3.550000,,4,Foreign Ordinary Shares,France,
IPCIF,INTELLIPHARMACEUTICS INTL,OTCQB,health care,0.053280,,10,Foreign Ordinary Shares,Canada,Ontario
IVEVF,INVENTIVA SA ACT PORTEUR,Pink Current,health care,3.670000,,0,Foreign Ordinary Shares,,
MCKPF,MALLINCKRODT PB LTD CO,Pink Current,health care,0.000000,,0,Foreign Ordinary Shares,Ireland,
MCUJF,MEDICURE INC,Pink Current,health care,0.948000,,0,Foreign Ordinary Shares,Canada,Manitoba
MDNAF,MEDICENNA THERA CORP,OTCQB,health care,1.045000,9.745900,257649,Foreign Ordinary Shares,Canada,Ontario
MEDXF,MEDEXUS PHARMS INC,OTCQX International,health care,1.300000,5.691100,14200,Foreign Ordinary Shares,Canada,Ontario
MGCLF,MGC PHARMA LTD,Pink Current,health care,0.278000,,0,Foreign Ordinary Shares,Australia,Western Australia
MKGAF,MERCK KGAA,Pink Current,health care,170.000000,-0.014700,92,Foreign Ordinary Shares,Germany,
MPSYF,MORPHOSYS AG ORD,Pink Current,health care,70.280000,,0,Foreign Ordinary Shares,Germany,
MSCLF,SATELLOS BIOSCIENCE INC,OTCQB,health care,0.494000,-3.137300,1500,Foreign Ordinary Shares,Canada,Ontario
NGENF,NERVGEN PHARMA CORP,OTCQX International,health care,2.380000,5.309700,49487,Foreign Ordinary Shares,Canada,British Columbia
NONOF,NOVO NORDISK A/S B NEW,Pink Current,health care,123.008000,-1.119000,14053,Foreign Ordinary Shares,USA,New York
NVSEF,NOVARTIS AG BASEL AKT,Pink Current,health care,105.000000,1.107400,1150984,Foreign Ordinary Shares,Switzerland,
NXEN,NEXIEN BIOPHARMA INC,OTCQB,health care,0.020000,0.000000,22380,Foreign Ordinary Shares,USA,Colorado
ORXOF,OREXO AB ORD,OTCQX International,health care,1.505000,,0,Foreign Ordinary Shares,Sweden,
PCLOF,PHARMACIELO LTD,OTCQX International,health care,0.120000,-6.976700,14674,Foreign Ordinary Shares,Canada,Ontario
PMXSF,SYNTARA LTD,Pink Current,health care,0.026000,,0,Foreign Ordinary Shares,Australia,
PPTDF,PEPTIDREAM INC ORD,Pink Limited,health care,8.560000,,0,Foreign Ordinary Shares,Japan,
PRNAF,ALTERITY THERAPEUTICS LTD,Pink Current,health care,0.000200,,0,Foreign Ordinary Shares,Australia,
PTCHF,PURETECH HEALTH PLC ORD,Pink Current,health care,2.665000,0.566000,243,Foreign Ordinary Shares,USA,Massachusetts
PTKFF,PT KALBE FARMA TBK,Pink Limited,health care,0.099100,,0,Foreign Ordinary Shares,Indonesia,
PYRGF,PYROGENESIS CDA INC ORD,OTCQX International,health care,0.362500,2.401100,9292,Foreign Ordinary Shares,Canada,Quebec
